,subject,trialN,subj_idx,response,rt,task,relativeValue,totalValue,memSlideScore,memChoiceScore,Left_sum,Right_sum,absRelativeValue,accuracy,arr_L,arr_R,N_L,N_R,L-R,|L-R|
0,hwrblsy3h,1,27,1,0.691300000011921,experiment_FR,1,59,4.0,0.7,30,29,1,1,"[7, 7, 3, 7, 3, 3]","[3, 8, 2, 7, 6, 3]",2,5,-3,3
1,hwrblsy3h,2,27,1,1.01959999999404,experiment_FR,3,63,4.0,0.7,33,30,3,1,"[4, 4, 7, 2, 8, 8]","[4, 6, 6, 7, 1, 6]",4,4,0,0
2,hwrblsy3h,3,27,1,1.1725,experiment_FR,8,40,4.0,0.7,24,16,8,1,"[6, 1, 7, 6, 1, 3]","[2, 2, 1, 5, 1, 5]",4,3,1,1
3,hwrblsy3h,4,27,1,0.610799999982119,experiment_FR,9,51,4.0,0.7,30,21,9,1,"[2, 7, 1, 5, 8, 7]","[1, 4, 3, 4, 1, 8]",5,4,1,1
4,hwrblsy3h,5,27,0,1.28069999998808,experiment_FR,-4,48,4.0,0.7,22,26,4,1,"[3, 3, 3, 1, 5, 7]","[8, 3, 4, 4, 4, 3]",4,3,1,1
5,hwrblsy3h,6,27,1,1.303,experiment_FR,4,52,4.0,0.7,28,24,4,1,"[6, 3, 4, 4, 7, 4]","[4, 1, 5, 2, 6, 6]",4,5,-1,1
6,hwrblsy3h,7,27,1,0.568300000011921,experiment_FR,8,58,4.0,0.7,33,25,8,1,"[7, 8, 7, 5, 2, 4]","[3, 8, 6, 4, 1, 3]",5,5,0,0
7,hwrblsy3h,8,27,0,0.67309999999404,experiment_FR,-11,53,4.0,0.7,21,32,11,1,"[8, 3, 3, 2, 1, 4]","[5, 8, 2, 7, 6, 4]",5,6,-1,1
8,hwrblsy3h,11,27,0,0.8325,experiment_FR,-13,57,4.0,0.7,22,35,13,1,"[3, 4, 1, 4, 8, 2]","[8, 7, 5, 1, 6, 8]",5,5,0,0
9,hwrblsy3h,12,27,1,1.57929999998212,experiment_FR,8,60,4.0,0.7,34,26,8,1,"[7, 5, 5, 4, 5, 8]","[1, 6, 6, 1, 4, 8]",4,4,0,0
10,hwrblsy3h,14,27,1,1.05259999999404,experiment_FR,4,48,4.0,0.7,26,22,4,1,"[6, 6, 1, 3, 8, 2]","[3, 5, 7, 2, 1, 4]",5,6,-1,1
11,hwrblsy3h,15,27,0,1.11340000000596,experiment_FR,-3,49,4.0,0.7,23,26,3,1,"[6, 1, 5, 7, 1, 3]","[2, 7, 2, 2, 8, 5]",5,4,1,1
12,hwrblsy3h,16,27,0,1.1685,experiment_FR,1,53,4.0,0.7,27,26,1,0,"[6, 2, 5, 2, 7, 5]","[7, 7, 1, 2, 7, 2]",4,3,1,1
13,hwrblsy3h,18,27,0,0.787899999976158,experiment_FR,-12,56,4.0,0.7,22,34,12,1,"[1, 6, 1, 3, 6, 5]","[8, 7, 4, 5, 7, 3]",4,5,-1,1
14,hwrblsy3h,19,27,0,0.99609999999404,experiment_FR,-2,54,4.0,0.7,26,28,2,1,"[1, 1, 7, 5, 8, 4]","[4, 2, 3, 7, 8, 4]",5,5,0,0
15,hwrblsy3h,20,27,1,0.902800000011921,experiment_FR,11,53,4.0,0.7,32,21,11,1,"[6, 6, 6, 3, 7, 4]","[6, 1, 1, 3, 8, 2]",4,5,-1,1
16,hwrblsy3h,21,27,1,0.69890000000596,experiment_FR,-3,45,4.0,0.7,21,24,3,0,"[2, 1, 8, 2, 5, 3]","[6, 1, 5, 4, 4, 4]",5,4,1,1
17,hwrblsy3h,22,27,1,0.93840000000596,experiment_FR,1,55,4.0,0.7,28,27,1,1,"[3, 3, 4, 5, 7, 6]","[5, 4, 3, 6, 1, 8]",5,6,-1,1
18,hwrblsy3h,23,27,1,0.9815,experiment_FR,7,45,4.0,0.7,26,19,7,1,"[3, 2, 3, 6, 4, 8]","[2, 5, 6, 1, 1, 4]",5,5,0,0
19,hwrblsy3h,24,27,1,0.798699999988079,experiment_FR,-3,51,4.0,0.7,24,27,3,0,"[2, 2, 5, 7, 6, 2]","[4, 5, 6, 6, 5, 1]",4,4,0,0
20,hwrblsy3h,25,27,1,1.04409999999404,experiment_FR,4,44,4.0,0.7,24,20,4,1,"[2, 1, 7, 4, 8, 2]","[3, 1, 7, 7, 1, 1]",5,3,2,2
21,hwrblsy3h,26,27,1,1.13459999999404,experiment_FR,-6,50,4.0,0.7,22,28,6,0,"[1, 4, 6, 1, 5, 5]","[7, 6, 4, 3, 1, 7]",4,5,-1,1
22,hwrblsy3h,27,27,0,1.32319999998808,experiment_FR,-7,51,4.0,0.7,22,29,7,1,"[5, 2, 2, 3, 6, 4]","[8, 3, 5, 5, 6, 2]",5,5,0,0
23,hwrblsy3h,28,27,1,1.013,experiment_FR,0,54,4.0,0.7,27,27,0,1,"[4, 6, 4, 3, 8, 2]","[6, 3, 6, 3, 4, 5]",5,4,1,1
24,hwrblsy3h,30,27,1,0.584199999988079,experiment_FR,13,57,4.0,0.7,35,22,13,1,"[7, 7, 7, 8, 2, 4]","[1, 7, 2, 2, 2, 8]",4,4,0,0
25,hwrblsy3h,31,27,0,0.59959999999404,experiment_FR,-8,46,4.0,0.7,19,27,8,1,"[1, 3, 3, 6, 2, 4]","[6, 2, 4, 5, 8, 2]",5,5,0,0
26,hwrblsy3h,32,27,0,0.962800000011921,experiment_FR,1,51,4.0,0.7,26,25,1,0,"[2, 6, 4, 2, 6, 6]","[6, 1, 7, 2, 8, 1]",3,5,-2,2
27,hwrblsy3h,33,27,1,0.617200000017881,experiment_FR,13,57,4.0,0.7,35,22,13,1,"[6, 7, 7, 8, 3, 4]","[2, 1, 4, 6, 6, 3]",5,5,0,0
28,hwrblsy3h,34,27,1,0.77990000000596,experiment_FR,-5,31,4.0,0.7,13,18,5,0,"[1, 1, 1, 2, 2, 6]","[2, 3, 3, 3, 3, 4]",3,3,0,0
29,hwrblsy3h,36,27,1,0.487199999988079,experiment_FR,0,66,4.0,0.7,33,33,0,1,"[6, 1, 5, 8, 8, 5]","[4, 7, 3, 6, 7, 6]",4,4,0,0
30,hwrblsy3h,37,27,1,0.677699999988079,experiment_FR,17,55,4.0,0.7,36,19,17,1,"[8, 7, 8, 8, 1, 4]","[3, 6, 2, 1, 5, 2]",4,5,-1,1
31,hwrblsy3h,38,27,0,0.881800000011921,experiment_FR,-3,55,4.0,0.7,26,29,3,1,"[8, 2, 3, 3, 8, 2]","[4, 7, 8, 1, 4, 5]",3,5,-2,2
32,hwrblsy3h,39,27,0,0.862300000011921,experiment_FR,-6,56,4.0,0.7,25,31,6,1,"[5, 3, 2, 4, 4, 7]","[6, 7, 7, 4, 6, 1]",5,4,1,1
33,hwrblsy3h,40,27,0,0.563,experiment_FR,-16,50,4.0,0.7,17,33,16,1,"[5, 1, 1, 4, 5, 1]","[4, 8, 8, 8, 3, 2]",3,4,-1,1
34,hwrblsy3h,41,27,1,0.517700000017881,experiment_FR,8,48,4.0,0.7,28,20,8,1,"[3, 7, 4, 6, 6, 2]","[3, 3, 7, 2, 1, 4]",5,5,0,0
35,hwrblsy3h,42,27,1,0.821799999982119,experiment_FR,6,54,4.0,0.7,30,24,6,1,"[6, 3, 7, 3, 5, 6]","[4, 3, 6, 2, 7, 2]",4,5,-1,1
36,hwrblsy3h,43,27,1,0.405,experiment_FR,22,60,4.0,0.7,41,19,22,1,"[6, 8, 8, 7, 6, 6]","[2, 4, 5, 5, 2, 1]",3,4,-1,1
37,hwrblsy3h,44,27,0,0.54840000000596,experiment_FR,-8,50,4.0,0.7,21,29,8,1,"[3, 4, 1, 4, 3, 6]","[1, 6, 4, 3, 8, 7]",4,6,-2,2
38,hwrblsy3h,45,27,0,0.996,experiment_FR,-5,45,4.0,0.7,20,25,5,1,"[2, 3, 6, 1, 6, 2]","[2, 1, 8, 3, 4, 7]",4,6,-2,2
39,hwrblsy3h,46,27,1,0.53559999999404,experiment_FR,13,53,4.0,0.7,33,20,13,1,"[2, 7, 7, 7, 4, 6]","[7, 2, 1, 2, 3, 5]",4,5,-1,1
40,hwrblsy3h,47,27,1,0.920300000011921,experiment_FR,2,52,4.0,0.7,27,25,2,1,"[1, 4, 4, 7, 4, 7]","[3, 2, 4, 2, 6, 8]",3,5,-2,2
41,hwrblsy3h,48,27,1,0.513699999988079,experiment_FR,15,51,4.0,0.7,33,18,15,1,"[8, 6, 2, 7, 5, 5]","[3, 1, 5, 1, 1, 7]",5,4,1,1
42,hwrblsy3h,50,27,1,1.13369999998808,experiment_FR,5,45,4.0,0.7,25,20,5,1,"[3, 3, 6, 3, 2, 8]","[5, 1, 4, 7, 1, 2]",4,5,-1,1
43,hwrblsy3h,51,27,1,0.726800000011921,experiment_FR,6,40,4.0,0.7,23,17,6,1,"[4, 3, 6, 1, 8, 1]","[1, 5, 3, 2, 3, 3]",5,4,1,1
44,hwrblsy3h,52,27,1,0.658799999982119,experiment_FR,5,53,4.0,0.7,29,24,5,1,"[4, 8, 1, 2, 7, 7]","[3, 4, 5, 8, 3, 1]",5,5,0,0
45,hwrblsy3h,53,27,0,1.38360000002384,experiment_FR,3,37,4.0,0.7,20,17,3,0,"[2, 6, 3, 3, 2, 4]","[7, 2, 2, 1, 4, 1]",4,4,0,0
46,hwrblsy3h,54,27,0,0.716399999976158,experiment_FR,-8,62,4.0,0.7,27,35,8,1,"[4, 8, 2, 3, 5, 5]","[6, 7, 7, 8, 2, 5]",5,5,0,0
47,hwrblsy3h,55,27,0,0.859200000017881,experiment_FR,-2,40,4.0,0.7,19,21,2,1,"[4, 1, 2, 5, 3, 4]","[3, 1, 7, 6, 1, 3]",5,4,1,1
48,hwrblsy3h,56,27,0,0.747400000005961,experiment_FR,-5,67,4.0,0.7,31,36,5,1,"[3, 4, 6, 3, 8, 7]","[8, 5, 8, 7, 6, 2]",5,5,0,0
49,hwrblsy3h,57,27,1,1.23280000001192,experiment_FR,3,59,4.0,0.7,31,28,3,1,"[4, 5, 1, 8, 8, 5]","[5, 7, 8, 1, 1, 6]",4,5,-1,1
50,hwrblsy3h,58,27,0,1.07089999997616,experiment_FR,-9,47,4.0,0.7,19,28,9,1,"[2, 2, 1, 5, 5, 4]","[3, 3, 8, 3, 5, 6]",4,4,0,0
51,hwrblsy3h,59,27,1,0.515199999988079,experiment_FR,17,51,4.0,0.7,34,17,17,1,"[5, 2, 8, 4, 7, 8]","[4, 1, 1, 4, 1, 6]",5,3,2,2
52,hwrblsy3h,60,27,0,0.595699999988079,experiment_FR,-9,65,4.0,0.7,28,37,9,1,"[8, 5, 3, 3, 6, 3]","[8, 7, 8, 2, 7, 5]",4,4,0,0
53,hwrblsy3h,61,27,0,0.97809999999404,experiment_FR,-6,34,4.0,0.7,14,20,6,1,"[4, 1, 3, 3, 2, 1]","[1, 2, 8, 2, 3, 4]",4,5,-1,1
54,hwrblsy3h,62,27,0,0.61409999999404,experiment_FR,0,50,4.0,0.7,25,25,0,1,"[7, 4, 1, 5, 6, 2]","[7, 3, 3, 6, 5, 1]",6,5,1,1
55,hwrblsy3h,63,27,0,1.54420000001788,experiment_FR,0,52,4.0,0.7,26,26,0,1,"[5, 7, 4, 7, 2, 1]","[1, 6, 4, 5, 3, 7]",5,6,-1,1
56,hwrblsy3h,64,27,0,0.593699999988079,experiment_FR,-13,45,4.0,0.7,16,29,13,1,"[4, 1, 3, 1, 6, 1]","[3, 7, 6, 6, 2, 5]",4,5,-1,1
57,hwrblsy3h,65,27,1,0.611200000017881,experiment_FR,6,64,4.0,0.7,35,29,6,1,"[4, 4, 6, 8, 7, 6]","[3, 8, 6, 4, 4, 4]",4,4,0,0
58,hwrblsy3h,66,27,1,0.821699999988079,experiment_FR,3,65,4.0,0.7,34,31,3,1,"[8, 8, 2, 5, 7, 4]","[3, 7, 4, 4, 5, 8]",5,5,0,0
59,hwrblsy3h,67,27,1,0.792,experiment_FR,3,49,4.0,0.7,26,23,3,1,"[3, 5, 3, 5, 3, 7]","[4, 4, 6, 3, 5, 1]",3,5,-2,2
60,hwrblsy3h,68,27,1,0.96290000000596,experiment_FR,-1,39,4.0,0.7,19,20,1,0,"[2, 1, 3, 2, 6, 5]","[2, 4, 1, 4, 4, 5]",5,4,1,1
61,hwrblsy3h,69,27,0,0.88209999999404,experiment_FR,-6,52,4.0,0.7,23,29,6,1,"[4, 1, 8, 3, 6, 1]","[1, 7, 8, 4, 2, 7]",5,5,0,0
62,hwrblsy3h,70,27,1,0.922200000017881,experiment_FR,8,58,4.0,0.7,33,25,8,1,"[4, 7, 1, 8, 5, 8]","[3, 6, 2, 1, 7, 6]",5,5,0,0
63,hwrblsy3h,71,27,0,0.598399999976158,experiment_FR,-2,54,4.0,0.7,26,28,2,1,"[8, 5, 5, 3, 2, 3]","[5, 2, 3, 8, 7, 3]",4,5,-1,1
64,hwrblsy3h,72,27,1,0.8405,experiment_FR,9,49,4.0,0.7,29,20,9,1,"[7, 7, 5, 3, 3, 4]","[6, 1, 1, 4, 6, 2]",4,4,0,0
65,hwrblsy3h,73,27,0,0.751,experiment_FR,-4,52,4.0,0.7,24,28,4,1,"[4, 2, 4, 8, 3, 3]","[1, 5, 3, 3, 8, 8]",4,4,0,0
66,hwrblsy3h,75,27,1,0.895199999988079,experiment_FR,3,61,4.0,0.7,32,29,3,1,"[5, 7, 6, 8, 5, 1]","[5, 2, 7, 7, 4, 4]",5,4,1,1
67,hwrblsy3h,76,27,0,1.05280000001192,experiment_FR,-8,52,4.0,0.7,22,30,8,1,"[3, 3, 6, 5, 2, 3]","[3, 8, 2, 5, 5, 7]",4,5,-1,1
68,hwrblsy3h,77,27,0,0.7325,experiment_FR,-7,47,4.0,0.7,20,27,7,1,"[3, 6, 2, 1, 5, 3]","[1, 8, 2, 8, 1, 7]",5,4,1,1
69,hwrblsy3h,78,27,1,0.9405,experiment_FR,7,47,4.0,0.7,27,20,7,1,"[1, 6, 6, 6, 2, 6]","[1, 2, 1, 4, 7, 5]",3,5,-2,2
